stt,d_mea1,d_kalman1,d_mea2,d_kalman2,d_mea3,d_kalman3,d_mea4,d_kalman4,d_mea5,d_kalman5,d_mea6,d_kalman6,d_mea7,d_kalman7
75,52.2,51.8,92.7,97.7,194.1,196.6,306.4,302.4,517.1,531.7,1034,1045.9,1543.6,1539.1
76,55.7,51.9,101.8,97.8,194.7,196.6,305.5,302.5,516.6,531.9,1039.9,1045.8,1538.8,1539.1
77,49.2,51.8,97.1,97.8,191.1,196.5,302.6,302.5,515.6,532,1037.5,1045.7,1537.5,1539.1
78,54.3,51.9,100.7,97.8,191.9,196.5,302.7,302.5,512.2,532.1,1043.6,1045.7,1542.5,1539.2
79,51.6,51.9,100.7,97.9,197.8,196.5,305.1,302.5,516.5,532.1,1028.6,1045.4,1531.5,1539.1
80,54.6,51.9,102,97.9,196,196.5,301.3,302.5,513.3,532.3,1033.9,1045.3,1538.1,1539
81,52,51.9,100.2,97.9,195.2,196.5,305.5,302.5,511.1,532.3,1043.2,1045.3,1567.9,1539.4
82,50.7,51.9,102,98,190.8,196.4,300.4,302.5,516.5,532.2,1031.6,1045.1,1542.8,1539.4
83,49.9,51.9,98.9,98,193.3,196.4,302.4,302.5,517.2,532.5,1039.3,1045.1,1538.2,1539.4
84,54.9,51.9,105.1,98.1,196.7,196.4,302.3,302.5,513,532.3,1037.2,1045,1544.7,1539.5
85,49.8,51.9,101.7,98.1,196.2,196.4,301.2,302.5,517.5,532.5,1041.6,1044.9,1549.1,1539.6
86,51.1,51.9,99.8,98.1,195.3,196.4,303.3,302.5,513.2,532.4,1037.3,1044.8,1542.8,1539.6
87,49.9,51.8,100.3,98.2,196.1,196.4,303.3,302.5,512.9,532.2,1044.1,1044.8,1538.8,1539.6
88,53.5,51.9,99.8,98.2,198.3,196.4,306,302.5,516,532.4,1035.1,1044.7,1541.5,1539.6
89,50.7,51.8,100.4,98.2,194.6,196.4,304,302.5,515,532.2,1048.1,1044.8,1544.7,1539.7
90,53.7,51.9,99.8,98.2,199.6,196.4,301,302.5,517.7,532,1030.5,1044.6,1542.2,1539.7
91,45.4,51.8,98,98.2,195.1,196.4,301.8,302.5,507.6,531.7,1038.2,1044.5,1536.6,1539.7
92,51.7,51.8,99.5,98.2,195.7,196.4,302.1,302.5,519.2,531.3,1039.2,1044.5,1538,1539.7
93,48.5,51.8,102.7,98.3,197.5,196.4,303.2,302.5,515.5,531.1,1038.7,1044.4,1541.3,1539.7
94,54.3,51.8,104.7,98.4,195.5,196.4,302.5,302.5,508.9,530.9,1042.7,1044.4,1542.2,1539.7
95,54.9,51.8,99.2,98.4,195.3,196.4,306.3,302.6,517.1,530.6,1067.4,1044.6,1541.3,1539.7
