d1(cm),d_real(cm),d_mea(cm),d2(cm),d_real(cm),d_mea(cm),d3(cm),d_real(cm),d_mea(cm),d4(cm),d_real(cm),d_mea(cm),d5(cm),d_real(cm),d_mea(cm),d6(cm),d_real(cm),d_mea(cm),d7(cm),d_real(cm),d_mea(cm)
52.4,,,98.6,,,194.3,,,303.5,,,513.6,,,1043.3,,,1538.8,,
53.3,,,95.3,,,198.9,,,301.8,,,511,,,1034.8,,,1540.4,,
47.7,,,102.2,,,194.9,,,302.7,,,512.3,,,1039.4,,,1538.8,,
50.8,,,96.1,,,197.6,,,300.8,,,511.2,,,1040,,,1543.8,,
47.5,,,98.6,,,195.2,,,301.9,,,510.8,,,1047.3,,,1540.7,,
50,,,92.4,,,197.5,,,302.2,,,513.9,,,1044.7,,,1544,,
54.3,,,101.4,,,197.6,,,301.3,,,513.9,,,1041.7,,,1546.6,,
49.9,,,98.9,,,195.6,,,304.5,,,508.6,,,1066.2,,,1541.1,,
50.8,,,101,,,196.7,,,302.1,,,508.8,,,1037.5,,,1545.5,,
51.8,,,96.3,,,194.8,,,301.8,,,509.7,,,1039.1,,,1542.2,,
50.6,,,98.8,,,192.9,,,303.2,,,520.1,,,1039,,,1535.8,,
47.3,,,91.8,,,198.3,,,302.5,,,518.3,,,1037.4,,,1537,,
51.6,,,98,,,197,,,302.9,,,511.6,,,1043.1,,,1538.6,,
52.4,,,93.7,,,198.5,,,301.9,,,517.6,,,1041.8,,,1536.8,,
51.9,,,95.6,,,199.4,,,302.6,,,519.1,,,1035.8,,,1540,,
53.4,,,93.1,,,195.9,,,300.2,,,518.9,,,1038.4,,,1538.6,,
53.1,,,96.8,,,195.6,,,300.8,,,518.3,,,1036,,,1540.2,,
50.9,,,96.1,,,195.7,,,302.7,,,517.6,,,1043.8,,,1544.3,,
52.2,,,91.3,,,197.7,,,304.1,,,507.4,,,1041.5,,,1540.3,,
53.5,,,95.8,,,194.6,,,303.2,,,511.1,,,1036.7,,,1542,,
51.6,,,97.6,,,197.2,,,302.2,,,516.7,,,1044.4,,,1540.2,,
52.8,,,96.9,,,196.4,,,300.5,,,507,,,1098.2,,,1541.1,,
52,,,99,,,197.8,,,301.7,,,511.8,,,1041.8,,,1544.5,,
55.8,,,94.7,,,192.8,,,303.7,,,509.9,,,1036.7,,,1545.5,,
54.5,,,94.8,,,198.5,,,303.3,,,511.4,,,1037.4,,,1535,,
55.5,,,95.6,,,196.8,,,306.2,,,512.3,,,1039.1,,,1537.9,,
56.9,,,95.2,,,196.1,,,300.5,,,507.7,,,1042.7,,,1544.4,,
51.4,,,96.9,,,198.8,,,302.6,,,515.1,,,1042.2,,,1540.1,,
54.3,,,95.1,,,196.3,,,304.5,,,513.5,,,1040.9,,,1540.2,,
52.7,,,104.6,,,197,,,303,,,516.4,,,1041.1,,,1542.4,,
55.9,,,99.5,,,196.7,,,301.9,,,510.7,,,1029.4,,,1542,,
55.3,,,101.6,,,198.6,,,300.6,,,511.1,,,1042.7,,,1536.5,,
55.6,,,97.6,,,196.7,,,303.2,,,518.8,,,1034.5,,,1540.2,,
57.5,,,94,,,198,,,299.4,,,516.1,,,1046.9,,,1543.7,,
53.1,,,96.1,,,198.1,,,305.6,,,505.8,,,1031,,,1541.5,,
54.5,,,99.4,,,199,,,305.6,,,543.9,,,1037.4,,,1539.9,,
54.2,,,102.8,,,195.7,,,302.9,,,513.4,,,1045.5,,,1543.1,,
