,x,y,x_kalman,y_kalman,sai số ,,sai số kalman,
168,0.98,8.19,1.04,8.14,0.02,,0.04,
169,0.97,8.35,1.01,8.23,0.03,,0.01,
170,0.98,8.18,1,8.21,0.02,,0,
171,0.98,8.51,0.99,8.34,0.02,,0.01,
172,0.94,8.42,0.97,8.37,0.06,,0.03,
173,1.06,8.58,1.01,8.46,0.06,,0.01,
174,0.99,8.45,1,8.46,0.01,,0,
175,1.09,8.68,1.04,8.55,0.09,,0.04,
176,1.08,8.5,1.06,8.53,0.08,,0.06,
177,1.06,8.69,1.06,8.6,0.06,,0.06,
178,1,8.5,1.03,8.56,0,,0.03,
179,0.95,8.81,1,8.67,0.05,,0,
180,1.06,8.81,1.02,8.73,0.06,,0.02,
181,0.92,9.02,0.98,8.86,0.08,,0.02,
182,1.06,9.05,1.01,8.94,0.06,,0.01,
183,1.04,8.85,1.03,8.9,0.04,,0.03,
184,1.03,9.17,1.03,9.02,0.03,,0.03,
185,1.13,9.09,1.07,9.05,0.13,,0.07,
186,1.17,9,1.11,9.03,0.17,,0.11,
187,1.02,9.28,1.07,9.14,0.02,,0.07,
188,0.93,9.32,1.01,9.22,0.07,,0.01,
189,1.11,9.36,1.05,9.28,0.11,,0.05,
190,0.9,9.1,0.99,9.2,0.1,,0.01,
191,0.92,9.42,0.96,9.3,0.08,,0.04,
192,0.92,9.38,0.94,9.33,0.08,,0.06,
193,0.9,9.46,0.92,9.39,0.1,,0.08,
194,1.08,9.54,0.99,9.45,0.08,,0.01,
195,0.98,9.68,0.99,9.55,0.02,,0.01,
196,1.15,9.74,1.06,9.63,0.15,,0.06,
197,0.96,9.61,1.02,9.62,0.04,,0.02,
198,1.06,9.86,1.03,9.73,0.06,,0.03,
199,1.16,9.67,1.09,9.7,0.16,,0.09,
200,0.96,9.74,1.03,9.72,0.04,,0.03,
201,1.14,9.89,1.08,9.79,0.14,,0.08,
202,1.03,10.06,1.06,9.91,0.03,,0.06,
203,0.99,9.89,1.03,9.9,0.01,,0.03,
204,1.17,10.08,1.09,9.98,0.17,,0.09,
205,0.94,10.21,1.02,10.08,0.06,,0.02,
206,0.87,10.16,0.96,10.11,0.13,,0.04,
207,0.9,10.2,0.93,10.15,0.1,,0.07,
208,0.88,10.27,0.91,10.2,0.12,,0.09,
209,1.04,10.36,0.97,10.27,0.04,,0.03,
