x1,y1,val_x1,val_y1,x1_kalman,y1_kalman,x2,y2,val_x2,val_y2,x2_kalman,y2_kalman,Sai_lech_tb_x1y1,Sai_lech_tb_x2y2,sai_lech_kalman_x1y1,sai_lech_kalman_x1y2
0.89,4.92,,,1,5.08,2.18,10.37,,,2.18,10.27,0.13,0.41,0.08,0.324499615
1.11,4.99,,,1,5.08,2.16,10.24,,,2.18,10.27,0.11,0.29,0.08,0.324499615
0.94,4.94,,,1,5.07,2.1,10.23,,,2.18,10.27,0.08,0.25,0.07,0.324499615
1.07,5.23,,,1,5.08,2.22,10.38,,,2.18,10.27,0.24,0.44,0.08,0.324499615
1.08,5.15,,,1,5.08,2.19,10.26,,,2.18,10.27,0.17,0.33,0.08,0.324499615
1.05,5.07,,,1,5.08,2.11,10.17,,,2.18,10.27,0.09,0.2,0.08,0.324499615
1.12,5.05,,,1,5.08,2.15,10.27,,,2.18,10.27,0.13,0.31,0.08,0.324499615
0.97,5.11,,,1,5.08,2.12,10.26,,,2.18,10.27,0.12,0.29,0.08,0.324499615
1.08,5.08,,,1,5.08,2.24,10.25,,,2.18,10.27,0.11,0.35,0.08,0.324499615
0.98,5.15,,,1,5.08,2.13,10.19,,,2.18,10.27,0.15,0.23,0.08,0.324499615
0.97,5.19,,,1,5.08,2.06,10.36,,,2.18,10.27,0.2,0.37,0.08,0.324499615
1.12,5.06,,,1,5.08,2.19,10.23,,,2.18,10.27,0.13,0.3,0.08,0.324499615
0.92,5.07,,,1,5.08,2.27,10.28,,,2.18,10.27,0.11,0.39,0.08,0.324499615
0.97,5.14,,,1,5.08,2.11,10.25,,,2.18,10.27,0.15,0.28,0.08,0.324499615
1.09,5.17,,,1,5.08,2.14,10.26,,,2.18,10.27,0.19,0.3,0.08,0.324499615
1.09,5.05,,,1,5.08,2.23,10.27,,,2.18,10.27,0.1,0.35,0.08,0.324499615
1.12,4.96,,,1.01,5.08,2.25,10.28,,,2.18,10.27,0.12,0.37,0.080622577,0.324499615
0.91,4.94,,,1,5.08,2.15,10.28,,,2.18,10.27,0.11,0.32,0.08,0.324499615
0.91,5.2,,,1,5.08,2.07,10.35,,,2.18,10.27,0.22,0.36,0.08,0.324499615
1.03,5.2,,,1,5.08,2.07,10.15,,,2.18,10.27,0.2,0.17,0.08,0.324499615
1.12,5.13,,,1.01,5.08,2.07,10.33,,,2.18,10.27,0.18,0.34,0.080622577,0.324499615
1.08,5.22,,,1.01,5.08,2.22,10.27,,,2.18,10.27,0.23,0.35,0.080622577,0.324499615
1.05,4.97,,,1.01,5.08,2.15,10.18,,,2.18,10.27,0.06,0.24,0.080622577,0.324499615
1.1,5.09,,,1.01,5.08,2.15,10.25,,,2.18,10.27,0.13,0.29,0.080622577,0.324499615
1.09,5.04,,,1.01,5.08,2.11,10.34,,,2.18,10.27,0.1,0.36,0.080622577,0.324499615
0.93,5.08,,,1.01,5.08,2.2,10.35,,,2.18,10.27,0.11,0.41,0.080622577,0.324499615
0.95,5.21,,,1.01,5.08,2.27,10.16,,,2.18,10.27,0.22,0.31,0.080622577,0.324499615
0.9,5.16,,,1.01,5.08,2.23,10.37,,,2.18,10.27,0.19,0.44,0.080622577,0.324499615
0.98,5.08,,,1.01,5.08,2.1,10.24,,,2.18,10.27,0.08,0.26,0.080622577,0.324499615
0.97,5.15,,,1.01,5.08,2.16,10.14,,,2.18,10.27,0.15,0.21,0.080622577,0.324499615
1,5.2,,,1.01,5.08,2.24,10.3,,,2.18,10.27,0.2,0.39,0.080622577,0.324499615
0.96,5.15,,,1,5.08,2.07,10.27,,,2.18,10.27,0.15,0.28,0.08,0.324499615
1.07,5.21,,,1.01,5.08,2.09,10.15,,,2.18,10.27,0.22,0.17,0.080622577,0.324499615
0.95,5.13,,,1,5.08,2.11,10.22,,,2.18,10.27,0.13,0.24,0.08,0.324499615
1.03,4.97,,,1.01,5.08,2.28,10.15,,,2.18,10.27,0.04,0.32,0.080622577,0.324499615
1.02,5.23,,,1.01,5.08,2.25,10.37,,,2.18,10.27,0.23,0.44,0.080622577,0.324499615
0.98,5.12,,,1.01,5.08,2.26,10.18,,,2.18,10.27,0.12,0.32,0.080622577,0.324499615
1.06,4.94,,,1.01,5.08,2.23,10.37,,,2.18,10.27,0.09,0.43,0.080622577,0.324499615
1.05,5.09,,,1.01,5.08,2.24,10.24,,,2.18,10.27,0.11,0.34,0.080622577,0.324499615
0.9,4.94,,,1.01,5.08,2.09,10.14,,,2.18,10.27,0.12,0.17,0.080622577,0.324499615
1.01,5.04,,,1.01,5.08,2.23,10.21,,,2.18,10.27,0.04,0.31,0.080622577,0.324499615
0.89,5.1,,,1,5.08,2.08,10.38,,,2.18,10.27,0.15,0.38,0.08,0.324499615
0.9,5.17,,,1,5.08,2.26,10.29,,,2.18,10.27,0.2,0.39,0.08,0.324499615
0.94,5.17,,,1,5.08,2.12,10.31,,,2.18,10.27,0.18,0.33,0.08,0.324499615
1.03,5.01,,,1,5.08,2.14,10.18,,,2.18,10.27,0.03,0.23,0.08,0.324499615
0.95,5.05,,,1,5.08,2.22,10.38,,,2.18,10.27,0.07,0.44,0.08,0.324499615
1.12,4.93,,,1,5.08,2.12,10.15,,,2.18,10.27,0.14,0.19,0.08,0.324499615
1.05,5.1,,,1,5.08,2.17,10.29,,,2.18,10.27,0.11,0.33,0.08,0.324499615
1,5.2,,,1,5.08,2.2,10.27,,,2.18,10.27,0.2,0.34,0.08,0.324499615
1.06,5.01,,,1,5.08,2.17,10.13,,,2.18,10.27,0.06,0.22,0.08,0.324499615
1.05,5.16,,,1,5.08,2.14,10.36,,,2.18,10.27,0.16,0.38,0.08,0.324499615
1.12,5.22,,,1.01,5.08,2.23,10.25,,,2.18,10.27,0.25,0.34,0.080622577,0.324499615
0.97,4.99,,,1.01,5.08,2.28,10.14,,,2.18,10.27,0.03,0.31,0.080622577,0.324499615
0.96,5.1,,,1,5.08,2.2,10.28,,,2.18,10.27,0.1,0.35,0.08,0.324499615
1.1,5.22,,,1.01,5.08,2.14,10.15,,,2.18,10.26,0.24,0.21,0.080622577,0.316227766
1.05,5.22,,,1.01,5.08,2.06,10.3,,,2.18,10.26,0.23,0.31,0.080622577,0.316227766
0.92,5.11,,,1.01,5.08,2.09,10.27,,,2.18,10.26,0.14,0.29,0.080622577,0.316227766
1.09,5.2,,,1.01,5.09,2.12,10.29,,,2.18,10.26,0.21,0.31,0.090553851,0.316227766
1.11,5.19,,,1.01,5.09,2.09,10.18,,,2.18,10.26,0.22,0.2,0.090553851,0.316227766
1.06,5.04,,,1.01,5.09,2.26,10.37,,,2.18,10.26,0.07,0.45,0.090553851,0.316227766
0.91,5.12,,,1.01,5.09,2.18,10.28,,,2.18,10.27,0.15,0.33,0.090553851,0.324499615
1.02,5.17,,,1.01,5.09,2.06,10.21,,,2.18,10.26,0.17,0.22,0.090553851,0.316227766
1.08,5.05,,,1.01,5.09,2.17,10.27,,,2.18,10.26,0.1,0.32,0.090553851,0.316227766
1.1,4.99,,,1.01,5.09,2.08,10.16,,,2.17,10.26,0.1,0.18,0.090553851,0.310644491
0.96,5.2,,,1.01,5.09,2.22,10.14,,,2.17,10.26,0.21,0.27,0.090553851,0.310644491
1.07,5.24,,,1.01,5.09,2.21,10.36,,,2.17,10.26,0.24,0.42,0.090553851,0.310644491
0.89,4.97,,,1.01,5.09,2.27,10.2,,,2.18,10.26,0.11,0.34,0.090553851,0.316227766
0.94,5.01,,,1.01,5.09,2.08,10.31,,,2.17,10.26,0.06,0.32,0.090553851,0.310644491
