d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),d(mm),d_rea(mm),d_mea(mm),,52.7,53.13290793
313.8,,,640.1,,,1107.4,,,1161.1,,,,,,,49,
259.3,,,781.8,,,1097.7,,,1139.8,,,,,,,48.3,
286.3,,,746.5,,,1152.2,,,1157.6,,,,,,,58.9,
268.4,,,648.3,,,1146.7,,,1142,,,,,,,50,
276,,,788.3,,,1128.2,,,1140.1,,,,,,,57.8,
320,,,865.2,,,1107.3,,,1151.2,,,,,,,54.1,
283.5,,,851,,,1143.6,,,1164.4,,,,,,,60.2,
247,,,908.3,,,1142.2,,,1155.4,,,,,,,55.5,
308.2,,,874.2,,,1107.9,,,1159.4,,,,,,,52.2,
282.5,,,874.3,,,1127.4,,,1162.8,,,,,,,50.4,
274.5,,,864.2,,,1122,,,1161.5,,,,,,,55,
254.4,,,854.5,,,1123.1,,,1180.4,,,,,,,54.1,
285.2,,,923.6,,,1091.2,,,1194.4,,,,,,,53.3,
267.1,,,874.8,,,1132.5,,,1170.9,,,,,,,52.8,
290.5,,,900.9,,,1132.5,,,1134.8,,,,,,,56.9,
268.1,,,883.8,,,1147.4,,,1119.9,,,,,,,55.1,
236.6,,,857.7,,,1117.6,,,1134.4,,,,,,,52.6,
322.7,,,909.1,,,1128.9,,,1152.7,,,,,,,53.5,
344.8,,,936.1,,,1096.7,,,1150.1,,,,,,,51.7,
304,,,897.6,,,1137.1,,,1137.9,,,,,,,55.4,
269.8,,,895.4,,,1114,,,1130.3,,,,,,,57.3,
274.8,,,917.6,,,1142.9,,,1154.8,,,,,,,54.6,
277.9,,,862.1,,,1125.1,,,1152.7,,,,,,,51.9,
295.3,,,885.7,,,1124.4,,,1134.2,,,,,,,51,
238.4,,,945.9,,,1133.8,,,1107,,,,,,,54,
228.4,,,920.8,,,1155.7,,,1137.9,,,,,,,53.3,
231.3,,,866.9,,,1113.3,,,1137,,,,,,,51.5,
219,,,895,,,1096.5,,,1188.9,,,,,,,53.4,
211,,,954.2,,,1139.9,,,1170.6,,,,,,,54.5,
259.2,,,885.6,,,1118.2,,,1160.7,,,,,,,51.5,
227.2,,,887.1,,,1089.3,,,1154.9,,,,,,,51.3,
279.1,,,916.3,,,1102.7,,,1163.5,,,,,,,52.4,
240.6,,,885.6,,,1137.6,,,1144.6,,,,,,,53.1,
216.9,,,879.6,,,1139.7,,,1167.6,,,,,,,55.5,
238.3,,,865,,,1112.6,,,1180.8,,,,,,,54.3,
183.9,,,858.1,,,1097.1,,,1170.3,,,,,,,51.4,
166,,,845.6,,,1130.5,,,1185.6,,,,,,,50.5,
201.4,,,856,,,1111.6,,,1185.7,,,,,,,51.6,
248.5,,,882.4,,,1135.8,,,1178,,,,,,,51.1,
176.3,,,883.3,,,1153.3,,,1177.6,,,,,,,50.5,
340.8,,,880.6,,,1091.5,,,1172.4,,,,,,,55.4,
211.4,,,878.6,,,1118.2,,,1193.1,,,,,,,57.8,
