NLoS,d_real(cm),d_mea(cm),NLoS,d_real(cm),d_mea(cm),LoS,LoS,LoS
124.7,,,545.8,,,100.9,571.9,512.3
124.7,,,551.3,,,96.5,511.3,544.3
126.8,,,552.9,,,95.9,517.1,515.7
124.6,,,548.3,,,90.4,508.9,514.7
129.7,,,552.4,,,97.4,514.8,518.2
128.7,,,547.2,,,99.9,512.9,513.9
129.4,,,551.2,,,99.4,507.5,517.3
132.8,,,546.9,,,100.3,500.6,514.2
129.5,,,549.7,,,100.4,518.7,516.6
130.8,,,549.7,,,100.6,516,514
130.2,,,546.4,,,94.1,511.8,521
127.1,,,539.9,,,94,519.9,515.1
133.1,,,548.2,,,90.8,512.9,526.1
127.7,,,546.8,,,95,504.1,517.4
126.2,,,546.7,,,93.4,536.2,510.3
127.6,,,545.9,,,93.9,521.9,506.5
127.3,,,540.1,,,93.7,521.1,513.1
126.1,,,546.2,,,97.5,511.9,528
125.9,,,541.5,,,96.5,515.4,512
127.7,,,543.1,,,94.3,514.2,510.8
127.1,,,540.1,,,93.7,514.1,508.6
125.1,,,551.2,,,99.9,519.4,538
133,,,540.9,,,97.9,518.7,512.1
126.6,,,540.9,,,101.4,514.9,510.9
128,,,536.7,,,98.9,509.7,514.7
129,,,540.7,,,97.5,513.6,517.9
126.8,,,553.1,,,98.4,515.6,525.4
123.3,,,545.3,,,100.4,509.2,509.8
124.7,,,543.8,,,101.4,509.3,523.4
130.5,,,547.3,,,100.9,506.9,515.4
128,,,548.6,,,99,505.5,538.2
127,,,561.1,,,99,512.7,511.8
124.4,,,553.9,,,100.7,516.4,518.8
119,,,550.9,,,103.2,508.1,512.4
126.5,,,548,,,97.5,514.8,534.3
127.6,,,586.4,,,100.6,512,516.4
126,,,562.4,,,104.5,513.7,509.4
127.5,,,525.8,,,102,511.4,513.7
123.6,,,511.9,,,101.2,516.5,512
126.4,,,529.5,,,102.6,527,517.3
123.7,,,520.8,,,107,519.8,520.4
127.3,,,532.2,,,99.1,518.3,518.4
122.8,,,557.5,,,103.4,512.7,511.4
124.7,,,549.1,,,98.1,564.5,509.6
124.5,,,539.1,,,99.5,509.4,515
125.3,,,550.4,,,99.3,517.3,518.3
125.9,,,544.5,,,95.8,513.3,515.6
125.3,,,548.5,,,101.4,509.8,516.8
121.9,,,553,,,99.5,510.5,518
123.6,,,550.8,,,99.3,515.1,518
124.5,,,554.7,,,98.1,521.2,512.3
124.4,,,540.2,,,99.8,511.9,510
124.9,,,545.8,,,95.4,513.8,518.2
123.8,,,550.6,,,94.8,520.3,541.7
124.8,,,546.4,,,94.3,521.9,519.9
123.8,,,549.7,,,94.2,516.2,513.9
121.9,,,526.6,,,97.7,514.5,519.7
123,,,530.1,,,96.4,508.3,516.9
120.7,,,537.4,,,95.4,514.8,523.8
122.4,,,535.3,,,95.4,526.1,513.8
121.5,,,533.9,,,93.5,511.8,509.5
120.4,,,538.5,,,97.1,507.7,516.1
123.4,,,531.5,,,94.5,517.2,519.3
123.3,,,534,,,96.2,520.8,512.7
124.2,,,531.9,,,96.7,510.2,512.9
127.1,,,522.5,,,93.7,514.1,513.6
125.6,,,539.6,,,96.6,510.4,506.9
125.4,,,537.3,,,92.9,511.5,513.6
119.6,,,542.2,,,94.1,517.2,510.4
122.6,,,547.1,,,97.3,509.8,515.8
124.8,,,543.6,,,90.8,512.9,519.5
124.2,,,543.3,,,98.6,511.2,508.6
123.8,,,548.2,,,92,514.1,517.5
121.9,,,549.1,,,95,511.1,518
125.2,,,553.1,,,94.2,512.7,523
121.3,,,550.9,,,93.6,516.4,518
122.4,,,550.9,,,95.4,509.6,518.5
122.8,,,547.3,,,92.5,515.6,512.9
125,,,547.1,,,93.7,512.6,518.9
123.2,,,545.8,,,97.4,509.2,522.1
120.5,,,542.4,,,97.5,516.2,517.6
121.8,,,535,,,95,517,537.8
123.5,,,533.5,,,92.6,512.3,515.6
123.2,,,532.7,,,95.3,516.8,510.8
124.9,,,533.9,,,93.8,516.2,512.9
121.3,,,531.7,,,96.1,517.2,519.9
123.4,,,540.2,,,96.3,520.1,519.5
121.6,,,528,,,93.1,518.7,513.9
121.5,,,537.1,,,92.7,520.4,512
119.9,,,539.2,,,94.6,519.5,520.9
120.5,,,537.8,,,97.3,515,513.3
120.5,,,536.8,,,94.9,516.6,516.5
117.2,,,551.7,,,94.9,512.5,506.7
115,,,550.7,,,95.8,519.8,511.7
120.5,,,551.6,,,96.2,516.2,509.3
116.1,,,545.6,,,99.3,516,512.5
117.1,,,550.4,,,96.4,508.2,517.2
118.4,,,551.6,,,93.9,513.9,508.8
115,,,539.7,,,95,517.9,516.6
116.4,,,549.3,,,94.9,515.4,528.2
118,,,523.5,,,95.9,519.4,518.3
115.7,,,536.9,,,90.4,516.9,503.9
114.9,,,530.6,,,96.9,517.1,517.9
116.6,,,521.1,,,96.2,512.9,518.2
114.2,,,523.1,,,97.4,527.7,534.7
115.2,,,524.6,,,94.6,506.4,507.8
116.4,,,528.3,,,94.9,509,511.6
118.1,,,541.1,,,92.5,518.4,515.1
114,,,543.9,,,92.9,517.4,515.1
116.1,,,533.6,,,96.4,508.5,506.6
118.8,,,543.9,,,93.2,513.8,510.9
117.4,,,545.9,,,93.6,521,518
113.4,,,538.2,,,97.9,513.9,511.1
116.4,,,542.4,,,95.4,512.3,517
116.4,,,539.3,,,95.9,521.2,511.5
120,,,542.8,,,97.5,513.5,516.4
115.5,,,540.3,,,96.3,511.9,517.7
118.2,,,539.5,,,96.3,516.9,516.4
118,,,538.5,,,95.1,516.4,522.2
114.7,,,543.8,,,94.8,507.8,518.5
113.5,,,546.2,,,96.8,513.6,516.9
109.8,,,553.4,,,92.3,518,513.3
