x1,y1,val_x1,val_y1,x2,y2,val_x2,val_y2,,x1,y1,val_x1,val_y1,x2,y2,val_x2,val_y2,Sai_lech_tb_x1y1,Sai_lech_tb_x2y2
97,511.2728449,,,212.3805152,1025.698515,,,,0.97,5.11,,,2.12,10.26,,,0.12,0.29
108,508.1162527,,,223.9309855,1024.875345,,,,1.08,5.08,,,2.24,10.25,,,0.11,0.35
97.8,515.121715,,,213.1405811,1019.47234,,,,0.98,5.15,,,2.13,10.19,,,0.15,0.23
96.7,519.4130409,,,206.4101846,1036.06156,,,,0.97,5.19,,,2.06,10.36,,,0.20,0.37
112.1,505.6167521,,,219.4393864,1022.624579,,,,1.12,5.06,,,2.19,10.23,,,0.13,0.30
91.6,507.268621,,,227.4228064,1027.948454,,,,0.92,5.07,,,2.27,10.28,,,0.11,0.39
96.7,514.4001542,,,211.208695,1025.289464,,,,0.97,5.14,,,2.11,10.25,,,0.15,0.28
109.4,516.8733607,,,213.8343443,1026.468856,,,,1.09,5.17,,,2.14,10.26,,,0.19,0.30
109,504.5579691,,,223.0012698,1026.980744,,,,1.09,5.05,,,2.23,10.27,,,0.10,0.35
111.8,496.3219609,,,224.8123455,1027.792422,,,,1.12,4.96,,,2.25,10.28,,,0.12,0.37
90.5,493.5830625,,,215.3792809,1027.688166,,,,0.91,4.94,,,2.15,10.28,,,0.11,0.32
90.7,519.6496017,,,206.6367811,1034.985601,,,,0.91,5.20,,,2.07,10.35,,,0.22,0.36
102.9,520.0055785,,,206.834742,1015.305675,,,,1.03,5.20,,,2.07,10.15,,,0.20,0.17
111.5,513.3236174,,,207.1061446,1033.17953,,,,1.12,5.13,,,2.07,10.33,,,0.18,0.34
107.9,521.6768207,,,222.484816,1027.444414,,,,1.08,5.22,,,2.22,10.27,,,0.23,0.35
105.4,497.3432737,,,215.2746583,1018.280572,,,,1.05,4.97,,,2.15,10.18,,,0.06,0.24
110,508.9735052,,,215.2722007,1025.18869,,,,1.10,5.09,,,2.15,10.25,,,0.13,0.29
108.9,504.4686763,,,210.5367248,1034.257607,,,,1.09,5.04,,,2.11,10.34,,,0.10,0.36
92.7,508.4264328,,,220.142635,1035.185993,,,,0.93,5.08,,,2.20,10.35,,,0.11,0.41
94.6,520.9875041,,,226.9425135,1015.763848,,,,0.95,5.21,,,2.27,10.16,,,0.22,0.31
89.5,516.3557055,,,223.2283899,1037.228586,,,,0.90,5.16,,,2.23,10.37,,,0.19,0.44
97.9,507.5363073,,,210.1213799,1024.302293,,,,0.98,5.08,,,2.10,10.24,,,0.08,0.26
97.4,514.8167781,,,215.6477745,1014.435402,,,,0.97,5.15,,,2.16,10.14,,,0.15,0.21
100,520.3920601,,,224.0733446,1030.046171,,,,1.00,5.20,,,2.24,10.30,,,0.20,0.39
96,514.8371356,,,207.4797469,1026.773481,,,,0.96,5.15,,,2.07,10.27,,,0.15,0.28
107,521.0660192,,,208.512938,1015.077266,,,,1.07,5.21,,,2.09,10.15,,,0.22,0.17
95.4,512.6920199,,,210.8647145,1021.848712,,,,0.95,5.13,,,2.11,10.22,,,0.13,0.24
102.7,497.0626254,,,228.2364593,1014.877098,,,,1.03,4.97,,,2.28,10.15,,,0.04,0.32
102.4,522.5175242,,,225.0682297,1036.584402,,,,1.02,5.23,,,2.25,10.37,,,0.23,0.44
